SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"מה אני אלבש היום?","Neutral",0,4,92,1
"מה בא לי לאכול?","Neutral",0,4,93,2
"אני צריכה לעשות טלפון.","Neutral",0,3,98,3
"אני צריכה לשלוח הודעה.","Neutral",0,3,99,4
"יש לי פגישה בקרוב.","Neutral",0,2,95,5
"אני רוצה לקרוא ספר.","Neutral",0,1,76,6
"אני תושבת ישראל.","Neutral",0,1,79,7
"אני משתמשת באוזניות.","Neutral",0,1,108,8
"יש לי תוכניות למחר.","Neutral",1,4,80,9
"אני רוצה להסתפר.","Neutral",-1,4,85,10
"אני בתוך בניין.","Neutral",-1,3,71,11
"בא לי לשתות קפה.","Neutral",1,3,78,12
"הלילה אלך לישון מוקדם.","Neutral",-1,3,83,13
"אני רוצה לראות סרט.","Neutral",1,3,110,14
"אני יושבת כרגע.","Neutral",-1,2,68,15
"אני נועלת נעליים.","Neutral",-1,2,69,16
"אני רוצה לצאת לאימון.","Neutral",1,2,81,17
"אני משתתפת בניסוי.","Neutral",1,2,82,18
"אני צריכה לעשות קניות.","Neutral",1,2,90,19
"שתיתי מספיק מים היום?","Neutral",-1,2,91,20
"יש לי מטען לפלאפון.","Neutral",1,2,101,21
"בא לי לצאת להליכה.","Neutral",1,2,107,22
"אני מבינה עברית.","Neutral",1,1,74,23
"אני מצחצחת שיניים כל בוקר.","Neutral",1,1,84,24
"שתיתי משהו חם הבוקר.","Neutral",1,1,88,25
"אני צריכה לארגן את הלו\"ז.","Neutral",-1,1,102,26
"איפה שמתי את המפתחות?","Neutral",-2,4,72,27
"אני רוצה לנקות את הבית.","Neutral",2,4,103,28
"יש לי התראה בפלאפון.","Neutral",2,4,109,29
"אני בחדר שקט.","Neutral",-2,3,89,30
"אני צריכה לעשות כביסה.","Neutral",-2,3,97,31
"אני עובדת במשך השבוע.","Neutral",-2,3,106,32
"אני צריכה לבדוק את המייל.","Neutral",2,2,100,33
"מה יש לי לעשות היום?","Neutral",2,1,86,34
"הערב אני בבית.","Neutral",-3,5,87,35
"אני יושבת מול מחשב.","Neutral",-3,4,73,36
"מחר אקום מוקדם.","Neutral",-3,4,104,37
"איפה החניתי את האוטו?","Neutral",-3,2,75,38
"אני לומדת משהו חדש כל יום.","Neutral",3,2,77,39
"אני הרבה בנסיעות.","Neutral",-3,2,94,40
"אני לא יכולה להמשיך.","Negative",-3,5,4,41
"אני כל כך חלשה.","Negative",-3,5,6,42
"אני לא יכולה לסבול את זה יותר.","Negative",-3,5,10,43
"הלוואי שהייתי במקום אחר.","Negative",-3,5,13,44
"אני מרגישה חסרת אונים.","Negative",-3,5,23,45
"משהו חייב להשתנות.","Negative",-3,5,24,46
"אני מרגישה לבד.","Negative",-3,5,29,47
"כמה שאני עייפה ...","Negative",-3,5,31,48
"מה עשיתי שזה מגיע לי?","Negative",-3,5,33,49
"אני פסיבית וחסרת מוטיבציה.","Negative",-3,5,34,50
"למה אני כל כך מדוכאת?","Negative",-3,5,35,51
"נמאס לי לחשוב על זה.","Negative",-3,5,40,52
"אני מרגישה עצובה.","Negative",-3,5,42,53
"אני שונאת את החיים שלי.","Negative",-3,5,43,54
"אני משועממת מכל דבר.","Negative",-3,5,49,55
"הרבה דברים מבאסים אותי.","Negative",-3,5,52,56
"אני כל הזמן בוכה.","Negative",-3,5,55,57
"נמאס לי מהכל.","Negative",-3,5,67,58
"למה אני אף פעם לא מצליחה?","Negative",-3,4,2,59
"אני חסרת ערך.","Negative",-3,4,16,60
"החיים שלי בבלגאן.","Negative",-3,4,20,61
"אני כישלון.","Negative",-3,4,21,62
"אני אף פעם לא אצליח.","Negative",-3,4,22,63
"אני אף פעם לא אצא מזה.","Negative",-3,4,30,64
"אין לי כח לעשות דבר.","Negative",-3,4,44,65
"אני חושבת שאני מכוערת.","Negative",-3,4,59,66
"אני לא מסוגלת לעבוד יותר.","Negative",-3,4,60,67
"אני חסרת תועלת.","Negative",-3,4,65,68
"אני חסרת משמעות.","Negative",-3,4,66,69
"קשה לי להתרכז.","Negative",-2,5,32,70
"אני כל הזמן מנתחת את עצמי.","Negative",-2,5,39,71
"אני מאוכזבת מהבחירות שלי.","Negative",-3,3,7,72
"הלוואי שהייתי מישהי אחרת.","Negative",-3,3,18,73
"אני לא שווה כלום.","Negative",-3,3,19,74
"העתיד שלי בזבל.","Negative",-3,3,26,75
"אני לא מצליחה לסיים שום דבר.","Negative",-3,3,28,76
"למה אני לא מצליחה להזיז את עצמי?","Negative",-3,3,37,77
"למה אני תמיד מגיבה ככה?","Negative",-3,3,38,78
"העתיד שלי חסר תקווה.","Negative",-3,3,48,79
"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",-3,3,53,80
